domain	url	category	status	final_url	title	description	h1	research_note	error
r77.ai	https://r77.ai/	direct_competitor	200	https://r77.ai/	Redirecting...			AI transformation / enterprise AI	
zebrains.ru	https://zebrains.ru/	direct_competitor	200	https://zebrains.ru/	ZeBrains — Внешний центр разработок под ваши бизнес-задачи	ZeBrains — Создаем IT-решения для роста бизнеса. Обладаем компетенциями в ключевых технологических стеках. Пишем чистый код. Верим в здравый смысл.	ZeBrains — Внешний центр разработок под ваши бизнес-задачи	Custom development and AI implementation	
secret-agents.ru	https://secret-agents.ru/	direct_competitor	200	https://secret-agents.ru/	Внедрение ИИ в бизнес под ключ. Услуги по разработке ИИ-решений для бизнеса в Москве - заказать внедрение AI	Внедрение ИИ в бизнес под ключ. Услуги по созданию и внедрению ИИ от агентства Secret Agents в Москве. ✔ Разработка нейросетей на заказ, автоматизация процессов с применением искусственного интеллекта. ✔ Профессиональные решения для бизнеса с использованием передовых технологий.	Внедрение ИИ в бизнес под ключ	AI agents / automation agency	
just-ai.com	https://just-ai.com/	platform_competitor	200	https://just-ai.com/	Just AI | Лидер GenAI-трансформации бизнеса в России	AI-проекты с полным сопровождением. Готовые GenAI-решения. Консалтинг. Единая платформа для автоматизации процессов на базе AI-агентов Just AI Agent Platform	GenAI-трансформация бизнеса	GenAI platform, AI agents, consulting	
redmadrobot.ru	https://redmadrobot.ru/	integrator_competitor	200	https://redmadrobot.ru/	red_mad_robot - разработка цифровых решений для бизнеса	Создаём цифровые компании и продукты будущего для миллионов людей. Помогаем бизнесу внедрять AI | redmadrobot		Digital products and AI services	
genai-lab.ru	https://genai-lab.ru/	direct_competitor	200	https://genai-lab.ru/	Внедрение ИИ под ключ в бизнес энтерпрайз компаний — заказать в Gen AI lab	Разрабатываем и интегрируем ИИ-решения для крупных компаний. Консультируем по внедрению ИИ в бизнес-процессы. Обучаем сотрудников работе с AI.	Интегратор ИИ решений	GenAI implementation and consulting	
ai-teams.ru	https://ai-teams.ru/	agency_competitor	200	https://ai-teams.ru/	AI-Teams — Агентство по внедрению ИИ в бизнес	Научим вашу команду использовать нейросети для роста продуктивности и автоматизации задач. Внедряем AI-агентов в бизнес-процессы.	Научим вашу команду использовать нейросети для роста продуктивности и автоматизации задач	AI teams / AI implementation	
aiagency.ru	https://aiagency.ru/	agency_competitor	200	https://aiagency.ru/	AiAgency - Агентство Искусственного Интеллекта	Агентство Искусственного Интеллекта (АИИ) — Ведущее Российское агентство по внедрению ИИ в бизнес и обучению сотрудников работе с искусственным интеллектом.		AI agency	
neurocore.ru	https://neurocore.ru/	rejected_source	200	https://neurocore.ru/	Домен продается. Купить в магазине доменов Руцентр	Узнать подробнее о домене в магазине доменов Руцентр.		Fetched as parked/sold domain; do not use in audiences	
crafttalk.ru	https://crafttalk.ru/	chatbot_competitor	200	https://crafttalk.ru/	CraftTalk — платформа контакт-центра для бизнеса: конструктор чат ботов с ИИ, база знаний, аналитика	Платформа №1 в России - автоматизируем рутину и повышаем эффективность коммуникаций с клиентами. Разработаем чат-бота под нужды вашего бизнеса, льготные условия подключения.	Единая платформа для поддержки клиентов и помощи сотрудникам	Conversational AI / contact center automation	
pix.ru	https://pix.ru/	rpa_competitor	200	https://pix.ru/	PIX Robotics - экосистема продуктов для умной автоматизации, аналитики данных и процессов	PIX Robotics — российский разработчик ПО для цифровизации бизнеса. Продукты PIX RPA, PIX BI и PIX Процессы помогают автоматизировать задачи, анализировать данные и выстраивать эффективные процессы с применением ИИ.		RPA / process robotization	
korusconsulting.ru	https://korusconsulting.ru/	enterprise_integrator	200	https://korusconsulting.ru/	«КОРУС Консалтинг» — ведущая российская ИТ-компания	Внедряем ИИ и бизнес-решения, реализуем цифровую и ИИ-трансформацию. Делаем проекты и создаем технологии, которые приносят измеримый результат.	ИТ высоких достижений	Enterprise IT and data consulting	
